Date & Time,TRASAR Dose (ppm),Temperature (°F),Conductivity (µS/cm),pH,ORP (mV),Steel Corr. Rate (mpy),Copper Corr. Rate (mpy),Tagged Poly Dose (ppm),Nalco Scale Index,3D scale polymer consumption (%),NDM Scale Mass (ug),NDM Scale Rate (ug/h),NDM Water Temp (°F),Nalco Bio-Index,Turbidity (NTU),Background Channel (ppm),Cell Fouling (%),Flow Status,Interlock Status,Digital Input 3,Digital Input 4,4-20mA Input 1,4-20mA Input 2,TRASAR Relay Status,TRASAR Relay On Time (min),Tagged Poly Relay Status,Tagged Poly Relay On Time (min),Bioreporter Relay Status,Bioreporter Relay On Time (min),Oxidizing Biocide Relay Status,Ox Bio Relay On Time (min),Nonoxidizing Biocide Relay Status,Nonox Bio Relay On Time (min),Blowdown Relay Status,Blowdown Relay On Time (min),pH Relay Status,pH Relay On Time (min)
12/14/2016 0:00,986.31,98.56,825.85,8.16,115,0.15,0.02,0,-999,-999,0,0,0,0,0.5,0,0,1,1,0,0,0,0,128,0,128,0,0,0,0,0,128,0,64,0,0,0
12/14/2016 0:15,975.62,98.47,818.14,8.14,119,0.15,0.02,0,-999,-999,0,0,0,0,1.1,0,0,1,1,0,0,0,0,129,0,128,0,0,0,0,0,128,0,64,0,0,0
12/14/2016 0:30,1021.79,99.09,851.04,8.18,123,0.14,0.02,0,-999,-999,0,0,0,0,0.38,0,0,1,1,0,0,0,0,129,15,128,0,0,0,0,0,128,0,64,0,0,0
12/14/2016 0:45,1019.8,98.93,849.37,8.18,127,0.14,0.02,0,-999,-999,0,0,0,0,0.32,0,0,1,1,0,0,0,0,128,16,128,0,0,0,0,0,128,0,64,0,0,0
12/14/2016 1:00,1007.55,98.56,841.6,8.16,130,0.14,0.02,0,-999,-999,0,0,0,0,0.47,0,0,1,1,0,0,0,0,128,16,128,0,0,0,0,0,128,0,64,0,0,0
12/14/2016 1:15,993.45,98.6,835.32,8.16,133,0.14,0.02,0,-999,-999,0,0,0,0,0.53,0,0,1,1,0,0,0,0,128,16,128,0,0,0,0,0,128,0,64,0,0,0
12/14/2016 1:30,978.93,99.01,826.57,8.14,129,0.15,0.02,0,-999,-999,0,0,0,0,0.57,0,0,1,1,0,0,0,0,128,16,128,0,0,0,0,0,128,0,64,0,0,0
12/14/2016 1:45,1003.01,98.93,844.71,8.18,124,0.15,0.02,0,-999,-999,0,0,0,0,0.51,0,0,1,1,0,0,0,0,129,27,128,0,0,0,0,0,128,0,64,0,0,0
12/14/2016 2:00,1024.99,99.09,855.95,8.17,123,0.14,0.02,0,-999,-999,0,0,0,0,0.19,0,0,1,1,0,0,0,0,128,34,128,0,0,0,0,0,128,0,64,0,0,0
12/14/2016 2:15,1011.79,98.93,845.08,8.15,124,0.14,0.02,0,-999,-999,0,0,0,0,0.53,0,0,1,1,0,0,0,0,128,34,128,0,0,0,0,0,128,0,64,0,0,0
12/14/2016 2:30,997.39,98.93,834.51,8.14,124,0.14,0.02,0,-999,-999,0,0,0,0,0.47,0,0,1,1,0,0,0,0,128,34,128,0,0,0,0,0,128,0,64,0,0,0
12/14/2016 2:45,986.68,98.93,829.86,8.12,126,0.14,0.02,0,-999,-999,0,0,0,0,0.39,0,0,1,1,0,0,0,0,128,34,128,0,0,0,0,0,128,0,64,0,0,0
12/14/2016 3:00,976.85,98.68,819.79,8.09,129,0.14,0.02,0,-999,-999,0,0,0,0,0.57,0,0,1,1,0,0,0,0,128,34,128,0,0,0,0,0,128,0,64,0,0,0
